Name,Price,Brand
X500 - Noir - Dual Sim - 4.7 - 8 GB - 1 GB RAM - 1.3 GHz Quad Core - 8 MP Camera - Black (Brand Warranty)," 10,400",Qmobile
S250 - Dual Sim - 2.4 - VGA Camera - Black (Brand Warranty)," 2,250",Qmobile
Bolt T480 - 5 - 4GB HDD - 512MB RAM -  2MP Camera - Black (Brand Warranty)," 8,500",Qmobile
R240 - Dual Sim - 2.4 - Smart Camera - Black (Brand Warranty)," 2,650",Qmobile
X30 - 4 - 4GB HDD - 512 MB RAM - 2 MP Camera - Black (Brand Warranty)," 6,500",Qmobile
X90 - 5 - 4 GB - 512 MB RAM - 5 MP Camera - Black (Brand Warranty)," 9,500",Qmobile
X60 - 4 - 4GB HDD - 512MB RAM - 5MP - Black (Brand Warranty)," 7,500",Qmobile
Power 1000 - 2.8 - QVGA Camera - Black (Brand Warranty)," 3,200",Qmobile
M30 - Dual Sim - 2.4 - VGA Camera - Black (Brand Warranty)," 2,500",Qmobile
R360 - Dual Sim - 2.4 - Smart Camera - Black (Brand Warranty)," 2,600",Qmobile
R395 - 2.4 - Dual Sim - Smart Camera - Black - Brand Warranty," 2,250",Qmobile
A1 - Android One - 4.5 - 8GB HDD - 1GB RAM - 5 MP - Black (Brand Warranty)," 11,500",Qmobile
R400- 2.4- Smart Camera - Dual Sim - Black - ( Brand Warranty )," 2,250",Qmobile
i5i - Noir - Dual Sim - 4.5 - 4 GB - 1 GB RAM - 1.3 GHz Quad core - 5 MP Camera - White (Brand Warranty)," 8,600",Qmobile
M225 - Dual Sim - 2.4 - VGA Camera - Black (Brand Warranty)," 2,280",Qmobile
X10 - 3G - Dual Sim - 4GB - Black (Brand Warranty)," 4,785",Qmobile
Noir X35 - 4.0 - 4 GB - 512 MB RAM - 3.2 MP Camera - White (Brand Warranty)," 6,700",Qmobile
M70 - Dual Sim - 2.4 - Smart Camera - Black (Brand Warranty)," 2,340",Qmobile
Power4 - 2.4 - Black (Brand Warranty)," 2,150",Qmobile
G175 - Dual Sim - 1.8 - VGA Camera - Blue (Brand Warranty)," 1,950",Qmobile
M450 - Dual Sim - 2.4 - VGA Camera - Black (Brand Warranty)," 1,845",Qmobile
R900 - Dual Sim - 2.8 - VGA Camera - Black (Brand Warranty)," 2,600",Qmobile
Explorer 3G - Dual Sim - 2.8 - 128 MB - 64 MB RAM - 2 MP Camera - Black (Brand Warranty)," 3,710",Qmobile
R450 - Dual Sim - 2.4 - VGA Camera - Black (Brand Warranty)," 2,900",Qmobile
G175 - Dual Sim - 1.8 - VGA Camera - Black (Brand Warranty)," 1,950",Qmobile
E4 - Dual Sim - 2.4 - VGA Camera - Silver (Brand Warranty)," 2,750",Qmobile
X7 - 2.4 - VGA Camera - Golden (Brand Warranty)," 2,850",Qmobile
Q850 - Black (Brand Warranty)," 13,900",Qmobile
R700 - Dual Sim - 2.8 - VGA Camera - Black (Brand Warranty)," 2,400",Qmobile
X70 LINQ - 4.0 -  8 GB HDD - 1 GB RAM - 5.0 MP Camera - Black (Brand Warranty)," 8,500",Qmobile
R500 - Tri SIM - 2.4 - VGA Camera - Black (Brand Warranty)," 2,800",Qmobile
Qmobile-Q1100-White-(Brand Warranty)," 22,500",Qmobile
E50 - 2.4 - VGA Camera - Black (Brand Warranty)," 2,650",Qmobile
X7 - 2.4 - VGA Camera - Grey (Brand Warranty)," 2,850",Qmobile
M300 - Noir - Dual Sim - 5 - 8 GB HDD - 1 GB RAM - 8 MP Camera - White (Brand Warranty)," 18,000",Qmobile
B33 - 2.4 - Feature Phone - Black (Brand Warranty)," 2,050",Qmobile
X7 - Dual Sim - 2.4 - VGA Camera - Black (Brand Warranty)," 2,850",Qmobile
B255 - Dual Sim - 2.6 - VGA Camera - Black (Brand Warranty)," 2,300",Qmobile
X2 - Noir - Dual Sim - 256 MB - 512 MB RAM - 1.3 GHz Dual Core - VGA Camera - White (Brand Warranty)," 4,200",Qmobile
S150 - Dual Sim - 2.4 - VGA Camera - Black (Brand Warranty)," 2,350",Qmobile
E9 - Dual Sim - 2.8 - 1.3 MP Camera - Black (Brand Warranty)," 4,200",Qmobile
X100 - LINQ - Dual SIM - 4.5 - 8 GB - 1 GB RAM - 1.3 GHz Quad core - 5 MP Camera - Black (Brand Warranty)," 9,500",Qmobile
R200 - Dual Sim - 2.4 - VGA Camera - Black (Brand Warranty)," 2,100",Qmobile
X30 - 4 - 4GB HDD - 512 MB RAM - 2 MP Camera - Black (Brand Warranty)," 5,270",Qmobile
LINQ L15 - 5 - 8GB HDD - 1GB RAM - 8MP Camera - Black (Brand Warranty)," 12,600",Qmobile
X90 - 5 - 4 GB - 512 MB RAM - 5 MP Camera - Black (Brand Warranty)," 8,900",Qmobile
LT250  - 4.7 - 4 GB HDD - 1 GB RAM - 8 MP Camera - Black (Brand Warranty)," 13,899",Qmobile
LT150 - Noir - Dual Sim - 4.7 - 8GB - 1 GB RAM - 5 MP Camera - Black (Brand Warranty)," 10,900",Qmobile
LT600 - Linq - 5.0 - 8 GB HDD - 1 GB RAM - 8 MP Camera - Black (Brand Warranty)," 14,000",Qmobile
Qmobile-X50-Black(Brand Warranty)," 19,500",Qmobile
i5i - Noir - Dual Sim - 4.5 - 4 GB - 1 GB RAM - 1.3 GHz Quad core - 5 MP Camera - Black (Brand Warranty)," 9,500",Qmobile
B25 - Dual Sim - 2.4 - VGA Camera - Black (Brand Warranty)," 1,990",Qmobile
M25 - Dual Sim - 2.4 - VGA Camera - Black (Brand Warranty)," 2,400",Qmobile
B65 - Dual Sim - 2.4 - VGA Camera - Black (Brand Warranty)," 2,150",Qmobile
X300 - Linq - 4.5 - 4 GB - 1 GB RAM - 1.3 GHz Quad core - 8 MP Camera - Rose (Brand Warranty)," 12,000",Qmobile
A290 - Noir - 5 - 4 GB - 512 MB RAM - 1.3 GHz Dual Core - 3.2 MP Camera - Black (Brand Warranty)," 9,500",Qmobile
Noir X-800 - 4.7 - 8GB HDD - 1GB RAM - 8 MP Camera - Black (Brand Warranty)," 13,100",Qmobile
X11 - Noir - Dual Sim - 3.5 - 4 GB - 512 MB RAM - 1.0 GHz Dual Core - 3.2 MP Camera - Black (Brand Warranty)," 6,315",Qmobile
Noir X1 - 3.5 - 2GB - 256 MB RAM - VGA Camera - Black (Brand Warranty)," 4,500",Qmobile
B33 - 2.4 - Feature Phone - Black (Brand Warranty)," 2,000",Qmobile
C2 - Dual Sim - 2.4 - VGA Camera - Black (Brand Warranty)," 2,200",Qmobile
R800 - Dual Sim - 2.8 - VGA Camera - Black (Brand Warranty)," 3,199",Qmobile
R220 - Dual Sim - 2.4 - VGA Camera - Black (Brand Warranty)," 2,600",Qmobile
A8i - Noir - Dual Sim - 4.0 - 4 GB - 512 MB RAM - 1.3 GHz Dual Core - 5 MP Camera - Green (Brand Warranty)," 9,300",Qmobile
I7 - Noir - Dual Sim - 4.5 - 8 GB - 1 GB RAM - 1.3 GHz Quad Core - 5 MP Camera - Blue (Brand Warranty)," 13,300",Qmobile
Noir X250 - 5 - 4 GB - 1 GB Ram - 5 MP Camera - White (Brand Warranty)," 10,500",Qmobile
i10 - Noir - Dual Sim - 5.0 - 8 GB - 1 GB RAM - 1.3 GHz Quad Core - 8 MP Camera - White (Brand Warranty)," 12,800",Qmobile
X80 - Noir - 4.0 - 4 GB - 512 MB RAM - 1.3 Ghz Dual Core - 5 MP Camera - Black (Brand Warranty)," 6,550",Qmobile
G175 - Dual Sim - 1.8 - VGA Camera - Black (Brand Warranty)," 1,900",Qmobile
i10 - Noir - Dual Sim - 5.0 - 8 GB - 1 GB RAM - 1.3 GHz Quad Core - 8 MP Camera - Black (Brand Warranty)," 12,800",Qmobile
X80 - Noir - 4.0 - 4 GB - 512 MB RAM - 1.3 Ghz Dual Core - 5 MP Camera - White (Brand Warranty)," 6,550",Qmobile
X6 - Noir - 4.0 - 512 MB - 256 MB RAM - 1.3 Ghz Dual Core - VGA Camera - Black (Brand Warranty)," 4,275",Qmobile
X550 - Noir - Dual Sim - 4.7 - 8 GB - 1 GB RAM - 1.3 GHz Quad Core - 8 MP Camera - Black (Brand Warranty)," 12,750",Qmobile
X11 - Noir - Dual Sim - 3.5 - 4 GB - 512 MB RAM - 1.0 GHz Dual Core - 3.2 MP Camera - Black (Brand Warranty)," 6,240",Qmobile
A8i - Noir - Dual Sim - 4.0 - 4 GB - 512 MB RAM - 1.3 GHz Dual Core - 5 MP Camera - Green (Brand Warranty)," 9,500",Qmobile
X250 4GB Quad Core - Black (Brand Warranty)," 10,400",Qmobile
M25 - Dual Sim - 2.4 - VGA Camera - Black (Brand Warranty)," 2,350",Qmobile
S300 - Dual Sim - 2.4 - VGA Camera - Black (Brand Warranty)," 2,350",Qmobile
B30 - Dual Sim - 2.4 - VGA Camera - Black (Brand Warranty)," 1,925",Qmobile
B500 - Dual SIM - 2.8 - VGA Camera - Black (Brand Warranty)," 2,790",Qmobile
G300 - Dual SIM - 2.4 - VGA Camera - Black (Brand Warranty)," 2,700",Qmobile
G400 - Dual Sim - 2.6 - Smart Camera - Black (Brand Warranty)," 3,400",Qmobile
B60 - Dual Sim - 2.4 - VGA Camera - Black (Brand Warranty)," 2,350",Qmobile
A650 - Noir - Dual Sim - 5.5 - 4 GB - 512 MB RAM - 5 MP Camera - Black (Brand Warranty)," 18,500",Qmobile
B25 - Dual Sim - 2.4 - VGA Camera - Black (Brand Warranty)," 1,990",Qmobile
Mate S - 5.5 - 64 GB - 3GB RAM - Octa Core - 13 MP Camera - Luxurious Gold (Brand Warranty)," 59,999",Huawei
Y635 - 5.0 - 4 GB - 1 GB RAM - 1.2 GHz Quad Core - 5 MP Camera - Black (Brand Warranty)," 12,200",Huawei
P8 LITE - 5 - 4G - 16GB - 2GB RAM - 1.2 GHz Octa-core - 13 MP Camera - Gold (Brand Warranty)," 20,849",Huawei
"Y6 - Quad-Core, 5.0 - 1GB - 8GB - 8MP - White (Brand Warranty)"," 14,899",Huawei
G8 - 5.5 - 32 GB - 3 GB RAM - 1.5GHz Octa Core - 13 MP Camera - Horizon Gold (Brand Warranty)," 36,445",Huawei
G8 - 5.5 - 32 GB - 3 GB RAM - 1.5GHz Octa Core - 13 MP Camera - Horizon Gold (Brand Warranty)," 36,700",Huawei
G8 - 5.5 - 32 GB - 3 GB RAM - 1.5GHz Octa Core - 13 MP Camera - Mystic Champagne (Brand Warranty)," 36,445",Huawei
Y3 - 4.0 - 4 GB - 512 MB RAM - 1.3 GHz Quad-Core - 5 MP Camera - White (Brand Warranty)," 7,445",Huawei
