id,fielders,kind,player_out,odi_no,check
728,1098,caught,2086,3505,0
729,1234,caught,744,3505,0
730,,bowled,701,3505,0
731,244,caught,1719,3505,0
732,244,caught,743,3505,0
733,,lbw,883,3505,0
734,1906,run out,523,3505,0
735,1098,run out,2052,3505,0
742,,bowled,744,3504,0
743,,bowled,1784,3504,0
744,631,caught,1317,3504,0
745,1860,caught,743,3504,0
746,833,caught,523,3504,0
747,1905,caught,883,3504,0
748,245,caught,2086,3504,0
749,,lbw,1860,3504,0
750,1663,caught,646,3504,0
764,685,caught,1782,3597,0
765,643,caught,189,3597,0
766,643,caught,1334,3597,0
767,708,stumped,545,3597,0
768,708,caught,774,3597,0
769,2157,708,run out,570,3597,0
770,643,caught,1858,3597,0
771,355,caught,2029,3597,0
772,1858,caught,2165,3597,0
773,774,caught,643,3597,0
774,1782,caught,2159,3597,0
775,,bowled,355,3597,0
776,,lbw,685,3597,0
777,1492,caught,708,3597,0
778,,caught and bowled,384,3597,0
779,1492,caught,2,3597,0
780,1334,caught,1,3597,0
781,,bowled,163,3597,0
782,708,caught,606,3595,0
783,685,caught,464,3595,0
784,384,caught,800,3595,0
785,708,caught,791,3595,0
786,708,caught,591,3595,0
787,2165,caught,565,3595,0
788,,lbw,600,3595,0
789,163,caught,240,3595,0
790,2165,caught,1834,3595,0
791,708,caught,1457,3595,0
792,,lbw,2165,3595,0
793,791,caught,2159,3595,0
794,,caught and bowled,685,3595,0
795,606,caught,355,3595,0
796,240,caught,1,3595,0
797,565,caught,643,3595,0
798,791,caught,708,3595,0
799,1782,caught,606,3592,0
800,189,caught,791,3592,0
801,1568,caught,2159,3589,0
802,564,caught,643,3589,0
803,726,caught,2165,3589,0
804,1858,caught,355,3589,0
805,1782,caught,685,3589,0
806,,bowled,1,3589,0
807,1858,run out,708,3589,0
808,1858,run out,384,3589,0
809,,bowled,1782,3589,0
810,2165,caught,2076,3589,0
811,,lbw,2140,3589,0
812,685,caught,774,3589,0
813,2165,caught,564,3589,0
814,2165,caught,1858,3589,0
815,643,run out,2027,3589,0
816,708,caught,606,3586,0
817,643,caught,591,3586,0
818,708,caught,464,3586,0
819,708,stumped,800,3586,0
820,708,caught,791,3586,0
821,708,caught,600,3586,0
822,,bowled,1834,3586,0
823,,bowled,776,3586,0
824,355,caught,565,3586,0
825,2159,caught,1457,3586,0
826,464,caught,2159,3586,0
827,,lbw,2165,3578,0
828,,lbw,643,3578,0
829,2127,caught,685,3578,0
830,774,caught,2159,3578,0
831,774,caught,1,3578,0
832,189,caught,708,3578,0
833,545,caught,384,3578,0
834,774,caught,621,3578,0
835,774,caught,355,3578,0
836,,bowled,163,3578,0
837,,bowled,1782,3578,0
838,384,caught,2127,3578,0
839,,bowled,545,3578,0
840,708,caught,1334,3578,0
841,708,caught,774,3578,0
842,2165,caught,189,3578,0
843,1,run out,1858,3578,0
844,1782,caught,606,3582,0
845,1858,caught,591,3582,0
846,1334,caught,464,3582,0
847,774,caught,800,3582,0
848,,bowled,600,3582,0
849,,lbw,1834,3582,0
850,774,caught,819,3582,0
851,,bowled,776,3582,0
852,800,caught,189,3582,0
853,,bowled,2127,3582,0
854,543,caught,545,3582,0
855,600,caught,1782,3582,0
856,600,caught,1334,3582,0
857,,caught and bowled,774,3582,0
858,218,caught,1305,3551,0
859,1334,caught,746,3551,0
860,1334,caught,1341,3551,0
861,1492,caught,758,3551,0
862,218,caught,987,3551,0
863,545,caught,1326,3551,0
864,1403,caught,189,3551,0
865,746,caught,1782,3551,0
866,746,caught,2127,3551,0
867,1326,caught,774,3551,0
868,746,caught,545,3551,0
869,746,caught,1334,3551,0
870,,bowled,218,3551,0
871,,bowled,1492,3551,0
872,1492,caught,1305,3549,0
873,,caught and bowled,987,3549,0
874,218,caught,1341,3549,0
875,545,caught,758,3549,0
876,545,caught,1344,3549,0
877,218,caught,1395,3549,0
878,,bowled,1403,3549,0
879,189,run out,1326,3549,0
880,,lbw,189,3549,0
881,987,caught,2127,3549,0
882,1341,caught,1782,3549,0
883,987,caught,1334,3549,0
884,1305,caught,774,3549,0
885,1395,caught,218,3549,0
886,,bowled,545,3549,0
887,1344,caught,189,3548,0
888,758,caught,2127,3548,0
889,,bowled,1782,3548,0
890,1341,caught,1334,3548,0
891,1344,caught,570,3548,0
892,570,caught,987,3548,0
893,189,caught,1341,3548,0
894,218,caught,746,3548,0
895,,lbw,1344,3548,0
896,,bowled,1305,3548,0
897,,lbw,758,3548,0
898,1782,caught,1411,3548,0
899,570,caught,1431,3548,0
900,1782,caught,1326,3548,0
901,987,caught,189,3546,0
902,1396,caught,1782,3546,0
903,,lbw,2127,3546,0
904,1141,caught,545,3546,0
905,1341,caught,1334,3546,0
906,987,caught,218,3546,0
907,,bowled,774,3546,0
908,987,caught,2029,3546,0
909,1341,caught,531,3546,0
910,1396,caught,570,3546,0
911,2127,caught,987,3546,0
912,218,caught,1305,3546,0
913,545,caught,746,3546,0
914,218,caught,1341,3546,0
915,189,caught,1326,3546,0
916,218,caught,1344,3546,0
917,2029,caught,1411,3546,0
939,1395,caught,189,3545,0
940,987,caught,1782,3545,0
941,987,caught,1368,3545,0
942,1396,caught,2127,3545,0
943,,bowled,570,3545,0
944,1341,caught,1334,3545,0
945,746,caught,218,3545,0
946,1341,caught,774,3545,0
947,218,caught,987,3545,0
948,218,caught,1305,3545,0
949,1782,caught,1326,3545,0
950,570,caught,1341,3545,0
951,570,caught,758,3545,0
952,218,caught,1395,3545,0
953,218,caught,1411,3545,0
954,545,run out,1344,3545,0
955,218,caught,1431,3545,0
956,189,caught,1141,3545,0
957,384,caught,1517,3569,0
958,182,caught,1589,3569,0
959,,bowled,1551,3569,0
960,2159,caught,1478,3569,0
961,,caught and bowled,236,3569,0
962,621,run out,557,3569,0
963,,bowled,2159,3569,0
964,557,caught,440,3569,0
965,1517,caught,19,3569,0
966,1589,caught,643,3569,0
967,,lbw,355,3569,0
968,662,caught,708,3569,0
969,,bowled,384,3569,0
970,,lbw,685,3569,0
971,,lbw,621,3569,0
